Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.53.236.4,4/11/2019,684287,3983,799,983,601,308,300,992
62.53.247.120,4/8/2019,684287,2061,127,184,284,246,262,958
62.56.230.100,4/11/2019,684287,42779,549,353,867,1300,1813,37897
62.58.50.4,4/11/2019,684287,1757,85,124,245,233,200,870
62.58.50.5,4/12/2019,684287,2120,340,196,229,246,233,876
62.58.50.6,4/10/2019,684287,1991,271,185,228,231,215,861
62.58.62.132,4/12/2019,684287,1966,274,223,215,196,220,838
62.65.128.10,4/8/2019,684287,17879,393,794,1629,1883,2404,10776
62.65.128.15,4/10/2019,684287,17808,404,765,1635,1898,2422,10684
62.68.98.8,4/12/2019,684287,3507,261,241,378,344,400,1883
62.69.62.6,4/10/2019,684287,34275,3228,4415,5693,5330,3731,11878
62.69.62.7,4/11/2019,684287,34535,3079,4212,6003,5430,3807,12004
62.69.64.167,4/10/2019,684287,37534,206,561,1779,3640,4184,27164
62.69.212.14,4/10/2019,684287,13759,443,1560,818,950,1066,8922
62.72.64.237,4/12/2019,684287,24234,632,971,3323,3151,2967,13190
62.72.64.241,4/12/2019,684287,24229,634,987,3158,3224,2991,13235
62.81.16.129,4/11/2019,684287,3155,152,453,366,289,354,1541
62.91.2.20,4/11/2019,684287,71967,1207,5935,13837,12513,11362,27113
62.94.0.41,4/12/2019,684287,151146,7029,5318,7825,14638,35084,81252
62.94.0.42,4/12/2019,684287,150649,7026,5383,7841,14627,34628,81144
62.95.76.145,4/10/2019,684287,2284,103,139,233,244,390,1175
62.100.30.228,4/10/2019,684287,1708,87,129,209,216,224,843
62.100.30.244,4/9/2019,684287,1724,65,126,225,203,250,855
62.100.32.133,4/10/2019,684287,1668,87,118,189,235,225,814
62.101.93.101,4/10/2019,684287,4253,1265,324,424,410,394,1436
62.108.1.65,4/11/2019,684287,1603,73,134,202,213,214,767
62.108.1.66,4/11/2019,684287,1687,72,126,207,214,230,838
62.117.40.112,4/11/2019,684287,40547,719,697,1212,1761,2468,33690
62.128.175.14,4/11/2019,684287,62131,1034,5702,10167,9056,9604,26568
62.128.175.15,4/11/2019,684287,63185,1040,5644,10174,9256,9617,27454
62.133.126.28,4/10/2019,684287,2104,344,260,290,201,214,795
62.133.126.29,4/11/2019,684287,2097,350,249,264,217,225,792
